ACCESSION,NAME,TAXONOMY,ORIGIN,REPOSITORY,IMAGE,AVAILABILITY,RECEIVED,SOURCE TYPE,SOURCE DATE,COLLECTION SITE,COORDINATES,ELEVATION,HABITAT,IMPROVEMENT STATUS,NARRATIVE,NA,Var.18,Genus,Rank,Infraspecific,Species,Taxon
PI 606501,R. ursinus LIG-17,Rubus ursinus Cham. & Schltdl.,"Washington, United States",COR,,Add to cart,1995,COLLECTED,8/11/1993,"Mt. Baker-Snoqualmie National Forest. Cascade River Road east of Marblemount, Skagit County. Collected along road begining just south of boundary with North Cascades Nat'l Park west to mile post 15. T35N R13E Sec. 6.","48.47083000, -121.16250000",472,"Coastal forest. Fairly low light and high moisture area. Thuja plicata, Rubus, Vaccinium parvifolium, Fragaria virginiana and Ribes bracteosum.",WILD,,1517525,PI 606501,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 606504,R. ursinus LIG-32,Rubus ursinus Cham. & Schltdl.,"Washington, United States",COR,,Add to cart,1995,COLLECTED,8/15/1993,"Gifford Pinchot National Forest. From Packwood, Washington, take FR 52 to FR 5260, which runs along Johnson Creek. T14N R8E Sec 23. Washington County.","46.68333000, -121.75833000",790,Associated with Pseudotsuga menziesii,WILD,,1517530,PI 606504,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 606505,R. ursinus LIG-30-SFI,Rubus ursinus Cham. & Schltdl.,"Washington, United States",COR,,Add to cart,1995,COLLECTED,8/14/1993,Wenatchee National Forest. From FR 6500 head northwest until road turns to gravel. Collection made for 3.2 km back to Lake Creek NFS Campground. T28N R15E Sec 36 and Sec 31.,"47.88333000, -121.03333000",,"Moist forest type. Associated with Tsuga heterophylla, Alnus sp.",WILD,,1517533,PI 606505,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 606506,R. ursinus LIG-30-SFII,Rubus ursinus Cham. & Schltdl.,"Washington, United States",COR,,Add to cart,1995,COLLECTED,8/14/1993,Wenatchee National Forest. From FR 6500 head northwest until road turns to gravel. Collection made for 3.2 km back to Lake Creek NFS Campground. T28N R15E Sec 36 and Sec 31.,"47.88333000, -121.03333000",,"Moist forest type. Associated with Tsuga heterophylla, Alnus sp.",WILD,,1517534,PI 606506,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 606508,R. spectabilis KHCW 96-02-01,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,7/30/1996,"Adams Street extention in downtown Cordova gravel road, strong slope 40-45 degrees.","60.54389000, -145.75694000",30,"Understory of wooded road edge, west facing slope.",WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Sitka spruce, Arunkus, Geum, Epilobium.",1536576,PI 606508,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606509,R. spectabilis KHCW 96-04-04,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,7/30/1996,"Whitshed road, about 6 miles east of Cordova.","60.49139000, -145.87056000",30,Peat bog on east side of road.,WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: V. uliginosum, Spiranthes romanzoffiana, Geum calthifolium, Festuca rubra, Carex, Drosera rotundifolia, Salix, Alnus, V. oxycoccus, V. vitis-idaea.",1536577,PI 606509,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606511,R. spectabilis KHCW 96-09-03,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,7/31/1996,McKinley Lake Trail between 1 to 2.5 miles up from Copper River Road.,"60.45194000, -145.20333000",52,Along trail edge.,WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Cornus, Devil's Club, Rusty Menziesii, Lycopodium, Foam flower, Braken Fern.",1536579,PI 606511,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606513,R. arcticus KHCW 96-10-01,Rubus arcticus L. subsp. stellatus (Sm.) B. Boivin,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,7/31/1996,"0.5 mile from Copper River Road on Alaganik Slough Road, about 22 miles from Cordova. Around base of interpretive sign describing Moose habitat.","60.45056000, -145.28444000",18,"In open sun and in shade under alders, ground cover.",WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Epilobium, Alnus, Salix, Equisetum, Poa Festuca.",1536685,PI 606513,Rubus,Subsp.,stellatus,Rubus arcticus,Rubus arcticus subsp. stellatus
PI 606514,R. arcticus KHCW 96-13-02,Rubus arcticus L. subsp. stellatus (Sm.) B. Boivin,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,7/31/1996,Cabin Lake about 3.5 miles to the north of Cordova airport.,"60.50056000, -145.47472000",41,"Around open forest edge of parking lot near lake outlet, ground cover.",WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Epilobium, Alnus, Salix, Equisetum, Poa Festuca.",1536686,PI 606514,Rubus,Subsp.,stellatus,Rubus arcticus,Rubus arcticus subsp. stellatus
PI 606517,R. arcticus KHCW 96-16-01,Rubus arcticus L. subsp. stellatus (Sm.) B. Boivin,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/2/1996,"Kalsin Bay, Kodiak Island, adjacent to an old Alaska Plant Materials Center Cooperative trial site.","57.63361000, -152.32333000",0,"Open meadow, scattered willow and alder.",WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Epilobium, Salix, Polenonium, Lupinus, Solidago, Festuca, Trifolium, Aquifolium fruit present, some plants in flower (deep pink).",1536688,PI 606517,Rubus,Subsp.,stellatus,Rubus arcticus,Rubus arcticus subsp. stellatus
PI 606519,R. spectabilis KHCW 96-17-01,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/2/1996,"Just off edge of road to Pasagshak Beach, about 0.5 mile before a Coast Guard Loran Station.","57.46667000, -152.46667000",30,Open sun near edge of road.,WILD,"USDA Plant Exploration Expedition, 1996. Associated plants: Lupinus, Epilobium, Salix, Alnus, Solidago Aquifolium, Festuca, Geranium, Spiranthes, Heracleum.",1536582,PI 606519,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606520,R. spectabilis KHCW 96-20-01,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/3/1996,"About 0.5 mile on trail past end of the road going around Anton Larsen Bay, Kodiak Island.","57.86472000, -152.67056000",48,Open sun near edge of road.,WILD,"USDA Plant Exploration Expedition, 1996. Associated plants:Rosa woodsii, Spirea belbardiana, Veratrum viride, Epilobium angustifolium, Trentellis europaea, Salix alazensis, Viola, Sambucus racemosum.",1536583,PI 606520,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606525,R. idaeus KHCW 96-24-01,Rubus idaeus L. subsp. idaeus,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/4/1996,"Pull-off to west of Kalifonski Beach Road, overlooking Cook Inlet.","60.50028000, -151.28083000",3,"Open edge of parking log, facing west.",WILD,"USDA Plant Exploration Expedition, 1996",1536588,PI 606525,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 606529,R. spectabilis KHCW 96-27-01,Rubus spectabilis Pursh,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/5/1996,About 1 mile west of Seward (across railroad tracks) near Whittier Creek camping area.,"60.76861000, -148.68667000",70,Edge of open woods.,WILD,"USDA Plant Exploration Expedition, 1996",1536591,PI 606529,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 606535,R. arcticus KHCW 96-30-02,Rubus arcticus L. subsp. stellatus (Sm.) B. Boivin,"Alaska, United States",COR,,Add to cart,1996,COLLECTED,8/6/1996,"Cottonwood Creek, Wasilla","61.58167000, -149.39194000",100,Woody marsh next to Cottonwood Creek.  Dark organic soil.,WILD,"USDA Plant Exploration Expedition, 1996",1536691,PI 606535,Rubus,Subsp.,stellatus,Rubus arcticus,Rubus arcticus subsp. stellatus
PI 608823,R. idaeus G-13180,Rubus idaeus L. subsp. idaeus,"Ohio, United States",COR,,Add to cart,1993,COLLECTED,,"East of Mentor, Ohio on Johnnycake Ridge in Mr. Washburn's garden. Lat/lon accurate to Mentor.","41.65000000, -81.33333333",,,CULTIVATED,"Reference G-13180. Open-pollinated seed collected from 1964 to 1966. Main feature is much growth in first year; everbearing; very dark fruit. Pale bark, many prickles. Not a partial fall crop, a bit late for central Maine. Variable, but has a strong tendency for autumn fruiting.",1015884,PI 608823,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 608825,R. idaeus G-14646,Rubus idaeus L. subsp. idaeus,"New York, United States",COR,,Add to cart,1993,COLLECTED,,,,,,CULTIVAR,"Reference G-14646. Grows very tall, especially in semi-shade.",1015898,PI 608825,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 608853,R. spectabilis Oregon,Rubus spectabilis Pursh,"Oregon, United States",COR,,Add to cart,1998,COLLECTED,7/11/1989,"Hebo Dist.Rd.# 15, off Hwy 22","45.19417000, -123.83222000",,,WILD,,1556958,PI 608853,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 608855,R. spectabilis Oregon,Rubus spectabilis Pursh,"Oregon, United States",COR,,Add to cart,1998,COLLECTED,7/11/1989,,,,,WILD,,1556960,PI 608855,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 608861,R. strigosus Sled Dog KH98-13,Rubus idaeus L. subsp. strigosus (Michx.) Focke,"Alaska, United States",COR,,Add to cart,1998,COLLECTED,8/10/1998,"Sled Dog RV Park, Badger Loop Road, on the banks of the Chena River, about 4 miles east of Fairbanks, Alaska.","64.83167000, -147.53306000",30,"Along river bank. Associated with grasses, ladyfern and Fragaria virginiana. Soil was dark brown, very sandy-loam, very little organic matter.",WILD,,1562778,PI 608861,Rubus,Subsp.,strigosus,Rubus idaeus,Rubus idaeus subsp. strigosus
PI 618278,R. enslenii 47,Rubus enslenii Tratt.,"Louisiana, United States",COR,,Add to cart,2000,COLLECTED,1/2/2000,"Iatt Lake Dam Road, Grant Parish","31.54033000, -92.64917000",38,,WILD,,1603248,PI 618278,Rubus,,,Rubus enslenii,Rubus enslenii  
PI 618279,R. allegheniensis rual050,Rubus allegheniensis Porter,United States,COR,,Add to cart,2000,DONATED,3/8/2000,,,,,CULTIVATED,,1603249,PI 618279,Rubus,,,Rubus allegheniensis,Rubus allegheniensis  
PI 618283,R. flagellaris NC 98-8-1,Rubus flagellaris Willd.,"Tennessee, United States",COR,,Add to cart,2000,COLLECTED,,"Cumberland County, Roadside above cove forest along US70, 1 mile west of Ozone","35.88417000, -84.82361000",550,"edge of the Cove forest, with Rubus flagellanis",WILD,Received as R. occidentalis,1603260,PI 618283,Rubus,,,Rubus flagellaris,Rubus flagellaris  
PI 618284,'Cherokee',Rubus idaeus L. subsp. idaeus,"Virginia, United States",COR,,Add to cart,2000,DEVELOPED,1977,,,,,CULTIVAR,"Orig. in Blacksburg, Va., by G.D. Oberle, Virginia Agr. Ext. Serv., Vir-ginia Polytechnical Inst. and State Univ. Introd. in 1972. Hilton x VPI 5 (Taylor x St. Regis); cross made in 1958; selected in 1972; tested as VPI 13. Fruit: large; round conic to medium conic; medium to bright red; firm; seeds prominent; fruit well exposed; season extends from late June to mid July on floricanes and mid September to frost on primocanes. Plant: productive; good vigor; tolerant to fluctuating winter temperatures. Tolerant to root rot. Susceptible to the common strain of the North American aphid vector of the raspberry mosaic virus complex.",1603235,PI 618284,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618298,R. odoratus ruod070,Rubus odoratus L.,"Oregon, United States",COR,,Add to cart,2000,DONATED,3/8/2000,,,,,CULTIVATED,,1603252,PI 618298,Rubus,,,Rubus odoratus,Rubus odoratus  
PI 618311,'Kitsilano',Rubus idaeus L. subsp. idaeus,"British Columbia, Canada",COR,,Add to cart,2000,DEVELOPED,,,,,,CULTIVAR,KITSILANO (1998) - raspberry - Derived from the name of Squamish First Nation settler who came from a village on the Squamish River and settled in Stanley Park circa 1860. Fruit of the 'Kitsilano' cultivar ripens particularly late in the season and provides an effective overlap with some of the early ripening primocane (fall) cultivars. The fruit is a bright red. It is not particularly large in size and this appears to be a deterrent to its acceptance.Cultivar release by Hugh DaubenyNAMED FOR= the name of Squamish First Nation settler,1599287,PI 618311,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618316,'Maroseyka',Rubus idaeus L. subsp. idaeus,"Washington, United States",COR,,Add to cart,2000,DONATED,4/4/2000,,,,,CULTIVAR,,1599292,PI 618316,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618318,R. flosculosus from Meng,Rubus flosculosus Focke,"Oregon, United States",COR,,Add to cart,1996,DONATED,11/16/1996,,,,,UNCERTAIN,Seeds obtained from the Beijing Botanical Garden collection.,1588178,PI 618318,Rubus,,,Rubus flosculosus,Rubus flosculosus  
PI 618320,R. sp. from Beijing (Meng),Rubus  sp.,"Oregon, United States",COR,,Add to cart,1996,DONATED,11/16/1996,,,,,UNCERTAIN,Seeds obtained from the Beijing Botanical Garden collection.,1588180,PI 618320,Rubus,,,Rubus sp.,Rubus sp.  
PI 618331,R. leucodermis GP-27,Rubus leucodermis Douglas ex Torr. & A. Gray,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,,"Deschutes National Forest, Mt. Jefferson Wilderness, Carl Lake Trail.","44.57483000, -121.73667000",0,,WILD,,1585820,PI 618331,Rubus,,,Rubus leucodermis,Rubus leucodermis  
PI 618332,R. strigosus Lake Altoona WI,Rubus idaeus L. subsp. strigosus (Michx.) Focke,"Wisconsin, United States",COR,,Add to cart,1999,COLLECTED,Aug-99,"Along North Beach Road, Park Road and Lake Road adjacent to Lake Altoona in Altoona, Wisconsin.","44.81028000, -91.42361000",0,,WILD,,1585886,PI 618332,Rubus,Subsp.,strigosus,Rubus idaeus,Rubus idaeus subsp. strigosus
PI 618333,R. occidentalis Lake Altoona WI,Rubus occidentalis L.,"Wisconsin, United States",COR,,Add to cart,1999,COLLECTED,Aug-99,"Along North Beach Road, Park Road and Lake Road adjacent to Lake Altoona in Altoona, Wisconsin.","44.81028000, -91.42361000",0,,WILD,,1585887,PI 618333,Rubus,,,Rubus occidentalis,Rubus occidentalis  
PI 618334,R. sp. Lake Altoona WI,Rubus  sp.,"Wisconsin, United States",COR,,Add to cart,1999,COLLECTED,Aug-99,"Along North Beach Road, Park Road and Lake Road adjacent to Lake Altoona in Altoona, Wisconsin.","44.81028000, -91.42361000",0,,WILD,,1585888,PI 618334,Rubus,,,Rubus sp.,Rubus sp.  
PI 618336,R. ursinus Thorn Prairie,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1999,COLLECTED,Aug-99,At junction of FS 200 and FS 3401 (Thorn Prairie Road) in Umpqua National Forest.,"43.33333000, -122.33333000",1150,"Dry site, Pinus ponderosa on loose volcanic soil.",CULTIVATED,,1585890,PI 618336,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618343,R. leucodermis GP 95-7,Rubus leucodermis Douglas ex Torr. & A. Gray,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,1995,,,,,WILD,,1583734,PI 618343,Rubus,,,Rubus leucodermis,Rubus leucodermis  
PI 618345,R. ursinus GP-6,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,9/8/1993,,,,,WILD,,1583736,PI 618345,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618346,R. ursinus GP-9,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,9/9/1993,,,,,WILD,,1583737,PI 618346,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618347,R. ursinus GP-10,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,9/12/1993,,,,,WILD,,1583738,PI 618347,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618348,R. leucodermis GP-12,Rubus leucodermis Douglas ex Torr. & A. Gray,"Oregon, United States",COR,,Add to cart,1995,COLLECTED,8/23/1993,,,,,WILD,,1583739,PI 618348,Rubus,,,Rubus leucodermis,Rubus leucodermis  
PI 618349,R. ursinus GP-15,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1995,DONATED,11/16/1995,,,,,WILD,,1583740,PI 618349,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618351,R. occidentalis WS07.1.x,Rubus occidentalis L.,"Colorado, United States",COR,,Add to cart,1999,DONATED,8/10/1999,,,,,BREEDING,"Berry color is an attractive light garnet to garnet (orange red). Seed from plant regrown from seed originally collected by me from the wild in Poughkeepsie, NY.",1584068,PI 618351,Rubus,,,Rubus occidentalis,Rubus occidentalis  
PI 618355,R. spectabilis Washinton,Rubus spectabilis Pursh,"Washington, United States",COR,,Add to cart,1995,COLLECTED,Jun-94,Whidby Island,"48.20000000, -122.61667000",0,,WILD,,1585817,PI 618355,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 618356,R. spectabilis Washington,Rubus spectabilis Pursh,"Washington, United States",COR,,Add to cart,1995,COLLECTED,Jun-94,"Quinault, Jefferson county.","47.46667000, -123.88333000",0,,WILD,,1585818,PI 618356,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 618357,R. spectabilis Washington,Rubus spectabilis Pursh,"Washington, United States",COR,,Add to cart,1995,COLLECTED,Jun-94,"Vashon Island, King county.","47.41667000, -122.48333000",0,,WILD,,1585819,PI 618357,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 618358,R. ursinus GP-16,Rubus ursinus Cham. & Schltdl.,"Oregon, United States",COR,,Add to cart,1995,DONATED,11/16/1995,,,,,WILD,,1583741,PI 618358,Rubus,,,Rubus ursinus,Rubus ursinus  
PI 618360,R. leucodermis GP 3,Rubus leucodermis Douglas ex Torr. & A. Gray,"Oregon, United States",COR,,Add to cart,1994,COLLECTED,8/23/1993,,,,,WILD,,1583743,PI 618360,Rubus,,,Rubus leucodermis,Rubus leucodermis  
PI 618377,R. strigosus Oregon,Rubus idaeus L. subsp. strigosus (Michx.) Focke,"Oregon, United States",COR,,Add to cart,1998,COLLECTED,8/15/1998,"Strawberry Wilderness in Malheur Nation Forest; T14S R34E Sec. 30; Strawberry Lake Campground at end of Forest Road 6001. From Prairie City take Highway 60 (Strawberry Road) south, which becomes Forest Road 6001.","44.30000000, -119.68333000",1828,Small clumps in full sunshinie near creek. Less abundant than Fragaria and Vaccinium,WILD,,1562488,PI 618377,Rubus,Subsp.,strigosus,Rubus idaeus,Rubus idaeus subsp. strigosus
PI 618381,R. pluriracteatus CRUB 1642  OP seed,Rubus clinocephalus Focke,"Oregon, United States",COR,,Add to cart,1998,COLLECTED,10/5/1998,,,,,CULTIVATED,Open pollinated seed from CRUB 1642 seedlings,1566632,PI 618381,Rubus,,,Rubus clinocephalus,Rubus clinocephalus  
PI 618382,R. occidentalis Ontario,Rubus occidentalis L.,"Ontario, Canada",COR,,Add to cart,1996,COLLECTED,Sep-96,"On the farm of Phil Hosick near Addison, northwest of Brockville  in eastern Ontario.","44.66667000, -75.80000000",0,,WILD,"I live in Eastern Ontario near Brockville and have a seventy acre farm. The seeds I have enclosed are not red, but a rather small black raspberry. Which my wife and I think is wonderful. We have some red raspberries on the property, but they never bear enough to be worth picking. However these black ones on certain bushes are extremely prolific (the majority though are not). The few bushes that do produce well are located either along cedar fences (or rail piles) or along an old building (south exposure). We picked roughly seven quarts from these four bushes this summer. They are small and seedy, but the juice is wonderful. They also make great cheesecake topping. The brambles are quite long, up to eight or ten feet. The branch is whitish in color and the thorns are second to none. The leaves are darker green than red raspberries. The fruit is very tight, the seed pockets do not come apart like a red raspberry will. I have enclosed a package of seed, it is primarily off these four bushes. Although I did try to get some of the less productive bushes for diversity.",1568832,PI 618382,Rubus,,,Rubus occidentalis,Rubus occidentalis  
PI 618388,'Triple Crown',Rubus  hybr.,"Maryland, United States",COR,,Add to cart,1997,DEVELOPED,1996,,,,,CULTIVAR,"Fruit: large, firm, glossy black,slightly longer than broad shape, balanced subacid, sweet and aromatic flavor, early ripening. Plant: relatively high yield, vigorous, forms growns, spineless canes, fruit well distributed.  W. R. Okie, ed. 1997.",1544666,PI 618388,Rubus,,,Rubus hybr.,Rubus hybr.  
PI 618389,'Ness',Rubus ×loganobaccus L. H. Bailey,"Texas, United States",COR,,Add to cart,1999,DEVELOPED,1921,,,,,CULTIVAR,"Originated in College Station, Texas, by H. Ness, Texas Agricultural Experiment Station. Introduced in 1921. Original cross made in 1912. nine similar clones were included as the variety in 1921. Fruit: larger than Logan; size variable; hemispherical; skin deep red to blood-red, turning brown when overripe, shiny; drupelets large; keeping quality good; flavor of raspberry; high acidity; difficult to pick from receptacle, retains core like blackberry, and calyx adheres to fruit; borne on elongated pedicels like blackberry parent. Bush: very vigorous; growth habit like raspberry; canes up to 15 feet in length, with weak, short prickles; leaf of three to five ovate leaflets; productive and fully self-fertile.Named for developer H. Ness, Texas Agricultural Experiment Station, College Station, Texas.",1575471,PI 618389,Rubus,,,Rubus ×loganobaccus,Rubus ×loganobaccus  
PI 618436,Nectarberry,Rubus  hybr.,"California, United States",COR,,Add to cart,1996,DEVELOPED,1937,,,,,CULTIVAR,"Orig. in El Monte, Calif., by Howard G. Benedict. Introd. in 1937. Said to have been a seedling of Young but thought by many to be a chimera of Boysen, which it resembles; discovered before 1936. Fruit: diameter greater than Boysen; many claim the berry is sweeter than Boysen; about 9 drupelets around the core at the calyx end instead of 10 or usually 11 as in Boysen; drupelets larger than those of Boysen; drupelets not acute; base of style usually set in a depression. Bush: trailing (dewberry type); production and habit almost if not identical with Boysen.",1522035,PI 618436,Rubus,,,Rubus hybr.,Rubus hybr.  
PI 618437,'San Diego',Rubus idaeus L. subsp. idaeus,"California, United States",COR,,Add to cart,1996,DONATED,3/15/1996,,,,,CULTIVAR,,1522036,PI 618437,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618438,'Sonoma',Rubus idaeus L. subsp. idaeus,"California, United States",COR,,Add to cart,1996,DONATED,3/15/1996,,,,,CULTIVAR,"Orig. in Glen Ellen, Calif., by E.E. Roach, Log Cabin Nursery. (Ranere x Latham) x (Cuthbert x Latham); selected in 1947; introd. in 1951. Fruit: large. Plant: primocane fruiting; able to withstand and bear fruit in hot summer and low humidity; produces to mid-December.bred by E.E. Roach, Log Cabin Nursery selected in 1947; introduced in 1951NAMED FOR= Sonoma, California",1522037,PI 618438,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618442,R. spectabilis British Columbia,Rubus spectabilis Pursh,"British Columbia, Canada",COR,,Add to cart,1995,DEVELOPED,,,,,,CLONE,Received as R. spectabilis f. flore pleno - not acceptable for GRIN so changed to R. spectabilis (cv. Flore Pleno) 11/95.,1507983,PI 618442,Rubus,,,Rubus spectabilis,Rubus spectabilis  
PI 618456,'Centennial',Rubus idaeus L. subsp. idaeus,"Washington, United States",COR,,Add to cart,1992,DEVELOPED,1990,,,,,CULTIVAR,"'Centennial' was selected by B.H.B. in 1978 at Puyallup, Wash., from the 1974 cross made by H.A.D of 'Meeker' x 'Skeena'. It has been tested throughout the Pacific Northwest as WSU 738. 'Meeker' was released from the Washington State Univ. breeding program in 1967 (Brooks and Olmo, 1972) and is one of the leading commercial cultivars in the Pacific Northwest. 'Skeena' was released from the Agriculture Canada breeding program in British Columbia (B.C.) in 1978 (Daubeny, 1978) and is also commercially important in the Pacific Northwest. 'Skeena' was also the male parent of two other 1974 crosses that resulted in the release of 'Chilliwack' and 'Comox' from the Agriculture Canada, B.C., program in 1987 (Daubeny, 1987).The fruit has a pleasant, mild flavor.''Centennial' appears to be well-adapted in southern portions of the Pacific Northwest (south of about 48'N). It has not been reliably cold hardy at Abbotsford, B.C., and is not recommended where 'Meeker' may be damaged by cold. The fruit should meet the requirements of both fresh-market and processing uses; however, it is not suited to machine-harvesting.Although it has not been rigorously tested outside the Pacific Northwest, 'Centennial' has yielded well and produced large fruit at Raleigh, N.C. It also is being grown com-mercially around Watsonville, Calif. These indications suggest that 'Centennial' may be adapted to areas south of the location it was developed and tested.Centennial' is susceptible to Amphorophora agathonica Hottes, the aphid vector of the raspberry mosaic virus complex. However, in the Pacific Northwest, A. agathonica is most prevalent in British Colum-bia and northern Washington (Martin, 31988), where 'Centennial' would not be recommended because of potential winter damage. At Puyallup, where there is a high frequency of RBDV, 'Centennial' has tested positive for the virus using the ELISA technique.Appears to be well-adapted to the southern portions of the Pacific Northwest. Suitable for fresh market and processingPat Moore, Tom Sjulin, Bruce Barritt, and Hugh Daubeny cv.Cultivar Synonym= Tested as WSU 738NAMED FOR= Commemorating the Washington State Univ. centennial, 1989-90",1014199,PI 618456,Rubus,Subsp.,idaeus,Rubus idaeus,Rubus idaeus subsp. idaeus
PI 618485,'Kenai Carpet',Rubus arcticus L. subsp. arcticus,"Alaska, United States",COR,,Add to cart,1993,COLLECTED,1976,"Origin is from Kenai Peninsula, north side of Tustumena Lake Road, 6 miles south of Kasilof","60.25000000, -151.25000000",30,"Origin is from Kenai Peninsula, north side of Tustumena Lake Road, 6 miles south of Kasilof",CULTIVAR,"named for the Kenai Penninsula, AlaskaNAMED FOR= Named after original collection site",1015806,PI 618485,Rubus,Subsp.,arcticus,Rubus arcticus,Rubus arcticus subsp. arcticus
PI 618487,R. arcticus Hatcher-3,Rubus arcticus L. subsp. arcticus,"Alaska, United States",COR,,Add to cart,1993,COLLECTED,8/10/1993,"About 15 miles on Hatcher Pass Road before Independence Mine State Park. Tundra, no trees, willow, shrubs, many vaccinium","61.75000000, -149.25000000",610,"About 15 miles on Hatcher Pass Road before Independence Mine State Park. Tundra, no trees, willow, shrubs, many vaccinium",WILD,,1015824,PI 618487,Rubus,Subsp.,arcticus,Rubus arcticus,Rubus arcticus subsp. arcticus
PI 618499,'Arkansas Tree Everbearing',Rubus allegheniensis Porter,"Arkansas, United States",COR,,Add to cart,1994,DEVELOPED,,,,,,CULTIVAR,"(The following description of this unusual plant has been furnishedus by the originator.)This new berry came into our possession as a seedling several years ago. After years of painstaking efforts, the undesirable plants have been taken out, now having a variety that comes true and exactly alike.Due to the nature of their growth and over the long period of ripening, we have named it the Tree Everbearing Blackberry. It grows in any soil or climate, has stood twenty degrees below zero without any injury.  Berries are round, very large, extra sweet, yet enough acid for jams and jellies. An excellent keeper, has to be picked only once a week. Plants are very thorny, but berries grow on a long fruit stem in clusters of seven to thirty berries. Ninety percent of the fruit extends above the thorns. There being no berries on the market when they ripen, therefore its possibilities are unlimited as a commercial berry.Another feature why people prefer it: they grow up off the ground, ninety percent are free from dirt regardless of the weather. Rain must be in abundance or it must be planted where it can be watered. The undreamed of feature of this berry is that people in our towns and cities who have been deprived of fresh fruits may now grow all the berries they can use for pies, jams and jellies from six plants in their yard or small garden, taking no more care of , them than a common shrub. From a two-year-old plant we have gathered three gallons or 24 pounds. Three-year-old plants have broken all records with a yield of 6 gallons of fruit from one plant,Waller Brothers do not hesitate to recommend these plants as an excellent berry, as we have fruited some of them for the past several seasons with very satisfactory results.named because originated in Arkansas",1482860,PI 618499,Rubus,,,Rubus allegheniensis,Rubus allegheniensis  
PI 618503,R. pedatus 8628,Rubus pedatus Sm.,"Alaska, United States",COR,,Add to cart,1992,COLLECTED,8/9/1992,"Sitka, Alaska - woods around Sheldon Jackson College","57.03333000, -135.30000000",,"Sitka, Alaska - woods around Sheldon Jackson College",WILD,,1015499,PI 618503,Rubus,,,Rubus pedatus,Rubus pedatus  
